NOME,QoE,TempoJogo,UsoCpu,UsoRam,UsoGpu,UsoVram,DelayVideo,DelayComandos,JitterVideo,JitterComandos,PerdaVideo,PerdaComandos,Jogo,JogariaNovamente,EstadoEspirito,TerminoPartida,IDADE,GENERO,CURSO,HORASJOGASEMANA,RESOLUCAO,FREQUENCIA,QUALJAJOGOU,TEMPOQUALJAJOGOU,MOUSEMANETEVR
Player 36,5,3,20,17,21,15,0,0,0,0,0.0,2.0,FEAR,SIM,Indiferente,17,28,M,Doutorado Ciências da Computação,8,1080p,144,Nenhum,0,Mouse
Player 36,5,4,19,14,8,9,75,0,25,0,3.0,0.0,Spelunky,SIM,Indiferente,17,28,M,Doutorado Ciências da Computação,8,1080p,144,Nenhum,0,Mouse
Player 56,6,3,20,13,13,12,50,0,10,0,3.0,0.0,Half-Life 2,SIM,Feliz,12,20,N,Farmácia,8,1080p,60,Nenhum,0,Mouse e Manete
Player 56,3,3,17,13,8,8,100,50,25,0,2.0,2.0,Spelunky,SIM,Feliz,12,20,N,Farmácia,8,1080p,60,Nenhum,0,Mouse e Manete
Player 56,6,4,20,16,17,13,100,0,10,0,2.0,0.0,FEAR,SIM,Feliz,12,20,N,Farmácia,8,1080p,60,Nenhum,0,Mouse e Manete
Player 56,6,3,24,14,14,12,50,50,20,25,0.0,1.0,Half-Life 2,SIM,Feliz,12,20,N,Farmácia,8,1080p,60,Nenhum,0,Mouse e Manete
Player 57,4,4,16,15,16,12,75,150,20,25,3.0,3.0,FEAR,SIM,Triste,17,21,F,Matemática Computacional,8,-1080p,60,Nenhum,0,Mouse
Player 57,5,3,25,14,13,12,75,125,15,10,0.5,0.5,Half-Life 2,SIM,Triste,17,21,F,Matemática Computacional,8,-1080p,60,Nenhum,0,Mouse
Player 57,6,4,17,13,8,8,0,50,0,25,0.0,2.0,Spelunky,SIM,Triste,17,21,F,Matemática Computacional,8,-1080p,60,Nenhum,0,Mouse
Player 40,1,3,23,15,13,12,150,0,10,0,3.0,0.0,Half-Life 2,NAO,Feliz,13,37,M,Professor,8,1440p,60,Nenhum,0,Mouse
Player 57,3,3,26,15,13,12,100,0,20,0,2.5,0.0,Half-Life 2,SIM,Indiferente,13,21,F,Matemática Computacional,8,-1080p,60,Nenhum,0,Mouse
Player 57,3,4,27,16,13,12,0,50,0,10,0.0,2.5,Half-Life 2,SIM,Indiferente,13,21,F,Matemática Computacional,8,-1080p,60,Nenhum,0,Mouse
Player 57,4,3,27,16,13,12,0,25,0,20,0.0,2.0,Half-Life 2,SIM,Indiferente,13,21,F,Matemática Computacional,8,-1080p,60,Nenhum,0,Mouse
Player 57,3,3,27,16,12,12,0,100,0,20,0.0,2.0,Half-Life 2,NAO,Indiferente,13,21,F,Matemática Computacional,8,-1080p,60,Nenhum,0,Mouse
Player 38,3,3,24,15,13,12,150,0,5,0,0.5,0.0,Half-Life 2,SIM,Indiferente,16,22,M,Física,5,1080p,60,Nenhum,0,Celular
Player 38,6,3,18,15,8,8,25,50,10,5,0.5,0.5,Spelunky,SIM,Feliz,16,22,M,Física,5,1080p,60,Nenhum,0,Celular
Player 38,4,3,26,16,13,12,125,0,15,0,1.0,0.0,Half-Life 2,SIM,Feliz,16,22,M,Física,5,1080p,60,Nenhum,0,Celular
Player 38,5,4,25,15,12,12,50,125,10,5,0.0,1.0,Half-Life 2,SIM,Feliz,16,22,M,Física,5,1080p,60,Nenhum,0,Celular
Player 38,5,3,27,16,13,12,50,0,15,0,2.5,0.0,Half-Life 2,SIM,Feliz,17,22,M,Física,5,1080p,60,Nenhum,0,Celular
Player 58,3,4,15,17,6,8,150,0,10,0,2.5,0.0,Spelunky,NAO,Triste,14,21,N,Ciências da Computação,4,1080p,60,Nenhum,0,Mouse
Player 58,2,3,19,18,8,8,75,150,10,20,0.0,0.0,Spelunky,NAO,Triste,15,21,N,Ciências da Computação,4,1080p,60,Nenhum,0,Mouse
Player 59,3,4,22,20,15,11,0,100,0,20,0.0,2.5,FEAR,SIM,Indiferente,15,21,M,Ciências da Computação,8,1080p,60,Nenhum,0,Mouse e Manete e Celular
Player 59,3,3,17,18,8,8,0,150,0,5,0.0,1.5,Spelunky,SIM,Indiferente,15,21,M,Ciências da Computação,8,1080p,60,Nenhum,0,Mouse e Manete e Celular
Player 59,4,3,22,20,18,13,0,50,0,25,0.0,2.5,FEAR,SIM,Indiferente,15,21,M,Ciências da Computação,8,1080p,60,Nenhum,0,Mouse e Manete e Celular
Player 59,4,4,19,18,8,9,50,0,15,0,2.5,0.0,Spelunky,SIM,Indiferente,15,21,M,Ciências da Computação,8,1080p,60,Nenhum,0,Mouse e Manete e Celular
Player 59,5,3,27,18,14,13,50,0,5,0,0.5,0.0,Half-Life 2,SIM,Indiferente,15,21,M,Ciências da Computação,8,1080p,60,Nenhum,0,Mouse e Manete e Celular
Player 59,4,4,22,20,19,14,0,75,0,10,0.0,2.0,FEAR,SIM,Indiferente,15,21,M,Ciências da Computação,8,1080p,60,Nenhum,0,Mouse e Manete e Celular
Player 59,5,3,27,19,14,13,50,100,25,10,0.0,0.0,Half-Life 2,SIM,Indiferente,15,21,M,Ciências da Computação,8,1080p,60,Nenhum,0,Mouse e Manete e Celular
